"","FPR","TPR","Accuracy","Method"
"1",0,0,0.757894736842105,"Optimalrule"
"2",0,0,0.757894736842105,"Optimalrule"
"3",0,0,0.757894736842105,"Optimalrule"
"4",0,0,0.757894736842105,"Optimalrule"
"5",0,0,0.757894736842105,"Optimalrule"
"6",0,0,0.757894736842105,"Optimalrule"
"7",0,0,0.757894736842105,"Optimalrule"
"8",0,0,0.757894736842105,"Optimalrule"
"9",0,0,0.757894736842105,"Optimalrule"
"10",0,0,0.757894736842105,"Optimalrule"
"11",0,0,0.757894736842105,"Optimalrule"
"12",0,0,0.757894736842105,"Optimalrule"
"13",0,0.00647548566142461,0.75946248600224,"Optimalrule"
"14",0,0.0712303422756707,0.775139977603583,"Optimalrule"
"15",0,0.105457909343201,0.783426651735722,"Optimalrule"
"16",0.000886524822695023,0.178538390379278,0.800447928331467,"Optimalrule"
"17",0.000886524822695023,0.23959296947271,0.815229563269877,"Optimalrule"
"18",0.00147754137115841,0.288621646623497,0.826651735722284,"Optimalrule"
"19",0.00177304964539005,0.32377428307123,0.834938409854423,"Optimalrule"
"20",0.00177304964539005,0.363552266419982,0.844568868980963,"Optimalrule"
"21",0.00295508274231682,0.397779833487512,0.851959686450168,"Optimalrule"
"22",0.00413711583924348,0.42368177613321,0.857334826427772,"Optimalrule"
"23",0.0050236406619385,0.440333024976873,0.860694288913774,"Optimalrule"
"24",0.00738770685579193,0.463459759481961,0.864501679731243,"Optimalrule"
"25",0.00797872340425532,0.479185938945421,0.867861142217245,"Optimalrule"
"26",0.00827423167848695,0.496762257169288,0.871892497200448,"Optimalrule"
"27",0.00886524822695034,0.506012950971323,0.873684210526316,"Optimalrule"
"28",0.00916075650118209,0.516188714153561,0.875923852183651,"Optimalrule"
"29",0.00916075650118209,0.525439407955597,0.878163493840985,"Optimalrule"
"30",0.00916075650118209,0.538390379278446,0.881298992161254,"Optimalrule"
"31",0.00945626477541373,0.545790934320074,0.882866741321389,"Optimalrule"
"32",0.0100472813238771,0.549491211840888,0.883314669652856,"Optimalrule"
"33",0.0103427895981087,0.561517113783534,0.886002239641657,"Optimalrule"
"34",0.0106382978723404,0.569842738205365,0.887793952967525,"Optimalrule"
"35",0.0109338061465721,0.580018501387604,0.89003359462486,"Optimalrule"
"36",0.0109338061465721,0.582793709528215,0.89070548712206,"Optimalrule"
"37",0.0112293144208038,0.587419056429232,0.891601343784994,"Optimalrule"
"38",0.0112293144208038,0.59204440333025,0.892721164613662,"Optimalrule"
"39",0.0115248226950354,0.59481961147086,0.893169092945129,"Optimalrule"
"40",0.0118203309692672,0.603145235892692,0.894960806270997,"Optimalrule"
"41",0.0121158392434988,0.609620721554117,0.896304591265398,"Optimalrule"
"42",0.0132978723404256,0.616096207215541,0.896976483762598,"Optimalrule"
"43",0.0132978723404256,0.619796484736355,0.897872340425532,"Optimalrule"
"44",0.0135933806146572,0.622571692876966,0.898320268756999,"Optimalrule"
"45",0.0141843971631206,0.625346901017576,0.898544232922732,"Optimalrule"
"46",0.014775413711584,0.62627197039778,0.898320268756999,"Optimalrule"
"47",0.0150709219858156,0.628122109158187,0.898544232922732,"Optimalrule"
"48",0.0153664302600472,0.629972247918594,0.898768197088466,"Optimalrule"
"49",0.015661938534279,0.630897317298797,0.898768197088466,"Optimalrule"
"50",0.0159574468085106,0.631822386679001,0.898768197088466,"Optimalrule"
"51",0.016548463356974,0.634597594819611,0.898992161254199,"Optimalrule"
"52",0.016548463356974,0.639222941720629,0.900111982082867,"Optimalrule"
"53",0.0177304964539007,0.645698427382054,0.900783874580067,"Optimalrule"
"54",0.0183215130023641,0.651248843663275,0.901679731243001,"Optimalrule"
"55",0.0183215130023641,0.659574468085106,0.903695408734602,"Optimalrule"
"56",0.0195035460992907,0.66049953746531,0.903023516237402,"Optimalrule"
"57",0.0200945626477541,0.661424606845513,0.902799552071669,"Optimalrule"
"58",0.0203900709219859,0.662349676225717,0.902799552071669,"Optimalrule"
"59",0.0203900709219859,0.665124884366327,0.903471444568869,"Optimalrule"
"60",0.0203900709219859,0.668825161887142,0.904367301231803,"Optimalrule"
"61",0.0206855791962175,0.671600370027752,0.90481522956327,"Optimalrule"
"62",0.0212765957446809,0.671600370027752,0.904367301231803,"Optimalrule"
"63",0.0221631205673759,0.675300647548566,0.904591265397536,"Optimalrule"
"64",0.0224586288416075,0.678075855689177,0.905039193729003,"Optimalrule"
"65",0.0227541371158393,0.679925994449584,0.905263157894737,"Optimalrule"
"66",0.0233451536643026,0.682701202590194,0.90548712206047,"Optimalrule"
"67",0.0242316784869976,0.682701202590194,0.90481522956327,"Optimalrule"
"68",0.0242316784869976,0.683626271970398,0.905039193729003,"Optimalrule"
"69",0.0242316784869976,0.685476410730805,0.90548712206047,"Optimalrule"
"70",0.0242316784869976,0.688251618871415,0.906159014557671,"Optimalrule"
"71",0.0242316784869976,0.691026827012026,0.906830907054871,"Optimalrule"
"72",0.0245271867612293,0.691026827012026,0.906606942889138,"Optimalrule"
"73",0.024822695035461,0.693802035152636,0.907054871220605,"Optimalrule"
"74",0.025709219858156,0.69472710453284,0.906606942889138,"Optimalrule"
"75",0.0263002364066194,0.696577243293247,0.906606942889138,"Optimalrule"
"76",0.0268912529550828,0.700277520814061,0.907054871220605,"Optimalrule"
"77",0.0268912529550828,0.703977798334875,0.907950727883539,"Optimalrule"
"78",0.0271867612293144,0.707678075855689,0.908622620380739,"Optimalrule"
"79",0.0283687943262412,0.709528214616096,0.908174692049272,"Optimalrule"
"80",0.0283687943262412,0.711378353376503,0.908622620380739,"Optimalrule"
"81",0.0298463356973995,0.712303422756707,0.907726763717805,"Optimalrule"
"82",0.0304373522458629,0.716928769657724,0.908398656215006,"Optimalrule"
"83",0.0304373522458629,0.718778908418131,0.908846584546473,"Optimalrule"
"84",0.0307328605200946,0.721554116558742,0.909294512877939,"Optimalrule"
"85",0.0310283687943262,0.722479185938945,0.909294512877939,"Optimalrule"
"86",0.0313238770685579,0.725254394079556,0.909742441209407,"Optimalrule"
"87",0.0322104018912529,0.727104532839963,0.909518477043673,"Optimalrule"
"88",0.033096926713948,0.72895467160037,0.909294512877939,"Optimalrule"
"89",0.0336879432624113,0.731729879740981,0.909518477043673,"Optimalrule"
"90",0.0342789598108747,0.732654949121184,0.909294512877939,"Optimalrule"
"91",0.0348699763593381,0.736355226641998,0.909742441209407,"Optimalrule"
"92",0.0354609929078015,0.737280296022202,0.909518477043673,"Optimalrule"
"93",0.0357565011820331,0.737280296022202,0.909294512877939,"Optimalrule"
"94",0.0372340425531915,0.740980573543016,0.909070548712206,"Optimalrule"
"95",0.0372340425531915,0.743755781683626,0.909742441209407,"Optimalrule"
"96",0.0378250591016549,0.74468085106383,0.909518477043673,"Optimalrule"
"97",0.0387115839243499,0.749306197964847,0.90996640537514,"Optimalrule"
"98",0.0390070921985816,0.752081406105458,0.910414333706607,"Optimalrule"
"99",0.0390070921985816,0.753931544865865,0.910862262038074,"Optimalrule"
"100",0.0398936170212766,0.755781683626272,0.91063829787234,"Optimalrule"
"101",0.0416666666666666,0.758556891766883,0.90996640537514,"Optimalrule"
"102",0.04225768321513,0.759481961147086,0.909742441209407,"Optimalrule"
"103",0.0440307328605201,0.76040703052729,0.908622620380739,"Optimalrule"
"104",0.0455082742316785,0.7631822386679,0.908174692049272,"Optimalrule"
"105",0.0458037825059102,0.766882516188714,0.908846584546473,"Optimalrule"
"106",0.0460992907801419,0.769657724329325,0.909294512877939,"Optimalrule"
"107",0.0478723404255319,0.777983348751156,0.90996640537514,"Optimalrule"
"108",0.0508274231678487,0.78168362627197,0.908622620380739,"Optimalrule"
"109",0.0526004728132388,0.786308973172988,0.908398656215006,"Optimalrule"
"110",0.0552600472813238,0.793709528214616,0.908174692049272,"Optimalrule"
"111",0.0591016548463357,0.803885291396855,0.907726763717805,"Optimalrule"
"112",0.0650118203309693,0.810360777058279,0.90481522956327,"Optimalrule"
"113",0.0759456264775413,0.821461609620722,0.899216125419933,"Optimalrule"
