"","optimal","difference.rf"
"1",0.757142857142857,0.685714285714286
"2",0.828571428571429,0.719047619047619
"3",0.6,0.676190476190476
"4",0.828571428571429,0.747619047619048
"5",0.90952380952381,0.795238095238095
"6",1,0.676190476190476
"7",0.695238095238095,0.685714285714286
"8",0.757142857142857,0.7
"9",0.828571428571429,0.704761904761905
"10",1,0.714285714285714
"11",0.828571428571429,0.79047619047619
"12",0.757142857142857,0.676190476190476
"13",0.757142857142857,0.766666666666667
"14",0.828571428571429,0.766666666666667
"15",0.828571428571429,0.60952380952381
"16",0.642857142857143,0.733333333333333
"17",0.90952380952381,0.747619047619048
"18",0.757142857142857,0.60952380952381
"19",0.695238095238095,0.695238095238095
"20",0.6,0.642857142857143
"21",0.695238095238095,0.704761904761905
"22",0.757142857142857,0.704761904761905
"23",0.90952380952381,0.69047619047619
"24",0.642857142857143,0.719047619047619
"25",0.695238095238095,0.70952380952381
"26",0.757142857142857,0.752380952380952
"27",0.757142857142857,0.795238095238095
"28",0.757142857142857,0.633333333333333
"29",0.757142857142857,0.652380952380952
"30",0.828571428571429,0.7
"31",0.90952380952381,0.733333333333333
"32",0.757142857142857,0.733333333333333
"33",0.828571428571429,0.8
"34",0.828571428571429,0.8
"35",0.757142857142857,0.79047619047619
"36",0.757142857142857,0.70952380952381
"37",0.828571428571429,0.666666666666667
"38",0.642857142857143,0.647619047619048
"39",0.6,0.619047619047619
"40",0.642857142857143,0.676190476190476
"41",0.566666666666667,0.680952380952381
"42",0.828571428571429,0.766666666666667
"43",0.695238095238095,0.714285714285714
"44",0.828571428571429,0.69047619047619
"45",0.642857142857143,0.604761904761905
"46",0.695238095238095,0.747619047619048
"47",0.757142857142857,0.7
"48",0.757142857142857,0.647619047619048
"49",0.828571428571429,0.685714285714286
"50",0.695238095238095,0.771428571428571
"51",0.695238095238095,0.7
"52",0.757142857142857,0.652380952380952
"53",0.6,0.70952380952381
"54",0.695238095238095,0.633333333333333
"55",0.757142857142857,0.771428571428571
"56",0.828571428571429,0.70952380952381
"57",0.695238095238095,0.714285714285714
"58",0.642857142857143,0.714285714285714
"59",0.828571428571429,0.704761904761905
"60",0.757142857142857,0.70952380952381
"61",0.695238095238095,0.638095238095238
"62",0.528571428571429,0.538095238095238
"63",0.757142857142857,0.69047619047619
"64",0.6,0.619047619047619
"65",0.695238095238095,0.70952380952381
"66",0.90952380952381,0.685714285714286
"67",0.90952380952381,0.738095238095238
"68",0.695238095238095,0.747619047619048
"69",0.828571428571429,0.747619047619048
"70",0.90952380952381,0.79047619047619
"71",0.642857142857143,0.69047619047619
"72",0.828571428571429,0.738095238095238
"73",0.695238095238095,0.704761904761905
"74",0.695238095238095,0.695238095238095
"75",0.695238095238095,0.714285714285714
"76",0.695238095238095,0.595238095238095
"77",0.642857142857143,0.704761904761905
"78",0.828571428571429,0.785714285714286
"79",0.695238095238095,0.728571428571429
"80",0.757142857142857,0.676190476190476
"81",0.695238095238095,0.723809523809524
"82",0.757142857142857,0.704761904761905
"83",0.828571428571429,0.747619047619048
"84",0.90952380952381,0.771428571428571
"85",0.828571428571429,0.676190476190476
"86",0.542857142857143,0.604761904761905
"87",0.828571428571429,0.728571428571429
"88",0.828571428571429,0.70952380952381
"89",0.642857142857143,0.728571428571429
"90",0.757142857142857,0.70952380952381
"91",0.90952380952381,0.714285714285714
"92",0.6,0.666666666666667
"93",0.757142857142857,0.738095238095238
"94",0.695238095238095,0.704761904761905
"95",0.828571428571429,0.695238095238095
"96",1,0.747619047619048
"97",0.90952380952381,0.852380952380952
"98",0.90952380952381,0.771428571428571
"99",1,0.761904761904762
"100",0.757142857142857,0.723809523809524
